,Brand Name,Device Type,Model Name,Selling Price,Original Price,Rating (Out of 5)
354,APPLE,Smartwatch,Series 3 GPS - 42 mm Space Grey Aluminium Case,"18,900","23,900",4.6
355,APPLE,Smartwatch,SE 44 mm Space Grey Aluminium Case,"30,400","32,900",4.7
356,APPLE,Smartwatch,Series 3 GPS - 38 mm Space Grey Aluminium Case,"16,900","20,900",4.6
357,APPLE,Smartwatch,SE GPS + Cellular 44 mm Aluminium Case,"36,900","36,900",4.6
358,APPLE,Smartwatch,SE GPS + Cellular 40 mm Space Grey Aluminium Case,"31,400","33,900",4.6
359,APPLE,Smartwatch,SE 40 mm Space Grey Aluminium Case,"27,400","29,900",4.7
360,APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Red Aluminium Case,"45,690","49,900",4.5
361,APPLE,Smartwatch,SE 44 mm Gold Aluminium Case,"30,400","32,900",4.7
362,APPLE,Smartwatch,SE GPS + Cellular 40 mm Gold Aluminium Case,"31,400","33,900",4.6
363,APPLE,Smartwatch,SE GPS + Cellular 40 mm Aluminium Case,"33,900","33,900",4.6
364,APPLE,Smartwatch,Series 6 GPS 40 mm Silver Aluminium Case,"37,490","40,900",4.5
365,APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Blue Aluminium Case,"45,690","49,900",4.5
366,APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Graphite Stainless Steel Case,"67,900","73,900",4.5
367,APPLE,Smartwatch,Series 6 GPS 44 mm Red Aluminium Case,"40,190","43,900",4.5
368,APPLE,Smartwatch,SE GPS 44 mm Aluminium Case,"32,900","32,900",4.7
369,APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Space Grey Aluminium Case,"45,690","49,900",4.5
370,APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Space Grey Aluminium Case,"69,900","69,900",4.2
371,APPLE,Smartwatch,Series 5 GPS + Cellular 40 mm Space Black Stainless Steel Case,"69,900","69,900",4.6
372,APPLE,Smartwatch,Series 5 GPS + Cellular 44 mm Gold Stainless Steel Case,"73,900","73,900",4.2
373,APPLE,Smartwatch,Series 6 GPS 44 mm Blue Aluminium Case,"43,900","43,900",4.5
374,APPLE,Smartwatch,Series 6 GPS + Cellular 44 mm Silver Aluminium Case,"48,490","52,900",4.5
375,APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Gold Aluminium Case,"45,690","49,900",4.5
376,APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Gold Stainless Steel Case,"69,900","69,900",4.5
377,APPLE,Smartwatch,Series 5 GPS + Cellular 40 mm Stainless Steel Case,"65,900","65,900",3.4
378,APPLE,Smartwatch,Series 5 GPS + Cellular 44 mm Gold Aluminium Case,"52,900","52,900",4.7
